ID;Модуль;Название теста;Предусловие;Шаги;Ожидаемый результат;Фактический результат;Статус;Приоритет;Автоматизация;Причина непокрытия
3.16;Редактирование новостей. Валидация поля Дата публикации;Попытка выбора вчерашней даты;Пользователь авторизован. В Панель управления есть сохранённая новость. Экран редактирования открыт. Поля Категория, Заголовок, Время, Описание предзаполнены валидными данными;1. Кликнуть на поле Дата публикации\n2. Попытаться выбрать вчерашнюю дату\n3. Нажать кнопку OK;При нажатии OK выбранная дата автоматически заменяется на текущую. Изменения сохраняются;При нажатии OK выбранная дата автоматически заменяется на текущую. Изменения сохраняются;Passed;Medium;No;Виджет выбора времени — системный элемент Android. Его сложно автоматизировать, так как на разных телефонах он работает по-разному. То же самое уже проверяется в тестах 3.26-3.30
3.17;Редактирование новостей. Валидация поля Дата публикации;Выбор текущей даты;Пользователь авторизован. В Панель управления есть сохранённая новость. Экран редактирования открыт. Поля Категория, Заголовок, Время, Описание предзаполнены валидными данными;1. Кликнуть на поле Дата публикации\n2. Выбрать текущую дату\n3. Нажать кнопку OK;Текущая дата подтверждается. Изменения сохраняются;Текущая дата подтверждается. Изменения сохраняются;Passed;Medium;No;Виджет выбора времени — системный элемент Android. Его сложно автоматизировать, так как на разных телефонах он работает по-разному. То же самое уже проверяется в тестах 3.26-3.30
3.18;Редактирование новостей. Валидация поля Дата публикации;Выбор завтрашней даты;Пользователь авторизован. В Панель управления есть сохранённая новость. Экран редактирования открыт. Поля Категория, Заголовок, Время, Описание предзаполнены валидными данными;1. Кликнуть на поле Дата публикации\n2. Выбрать завтрашнюю дату\n3. Нажать кнопку OK;Будущая дата подтверждается. Изменения сохраняются;Будущая дата подтверждается. Изменения сохраняются;Passed;Medium;No;Виджет выбора времени — системный элемент Android. Его сложно автоматизировать, так как на разных телефонах он работает по-разному. То же самое уже проверяется в тестах 3.26-3.30
3.19;Редактирование новостей. Валидация поля Дата публикации;Выбор даты в далеком будущем;Пользователь авторизован. В Панель управления есть сохранённая новость. Экран редактирования открыт. Поля Категория, Заголовок, Время, Описание предзаполнены валидными данными;1. Кликнуть на поле Дата публикации\n2. Выбрать дату в далеком будущем\n3. Нажать кнопку OK;Будущая дата подтверждается. Изменения сохраняются;Будущая дата подтверждается. Изменения сохраняются;Passed;Medium;No;Виджет выбора времени — системный элемент Android. Его сложно автоматизировать, так как на разных телефонах он работает по-разному. То же самое уже проверяется в тестах 3.26-3.30
3.20;Редактирование новостей. Валидация поля Дата публикации;Попытка ручного ввода даты;Пользователь авторизован. В Панель управления есть сохранённая новость. Экран редактирования открыт. Поля Категория, Заголовок, Время, Описание предзаполнены валидными данными;1. Кликнуть на поле Дата публикации\n2. Попытаться ввести дату вручную с клавиатуры;Открывается виджет выбора даты, ручной ввод блокируется;Открывается виджет выбора даты, ручной ввод блокируется;Passed;Medium;No;Виджет выбора времени — системный элемент Android. Его сложно автоматизировать, так как на разных телефонах он работает по-разному. То же самое уже проверяется в тестах 3.26-3.30
3.21;Редактирование новостей. Валидация поля Время (Виджет);Выбор текущего времени при дате "Сегодня";Пользователь авторизован. В Панель управления есть сохранённая новость. Экран редактирования открыт через кнопку Update. Остальные поля предзаполнены валидными данными. Дата публикации = сегодня;1. Кликнуть на поле Время\n2. Выбрать текущее время\n3. Нажать OK;Время подтверждается, изменения сохраняются;Время подтверждается, изменения сохраняются;Passed;Medium;No;Виджет выбора времени — системный элемент Android. Его сложно автоматизировать, так как на разных телефонах он работает по-разному. То же самое уже проверяется в тестах 3.26-3.30
3.22;Редактирование новостей. Валидация поля Время (Виджет);Выбор времени -1 мин при дате "Сегодня";Пользователь авторизован. В Панель управления есть сохранённая новость. Экран редактирования открыт через кнопку Update. Остальные поля предзаполнены валидными данными. Дата публикации = сегодня;1. Кликнуть на поле Время\n2. Выбрать время (текущее - 1 мин)\n3. Нажать OK;Прошедшее время должно быть заблокировано или авто-заменено на текущее;Выбор доступен, изменения сохраняются с прошедшим временем;Failed;Medium;No;Отсутствует кросс-валидация: поле Время не блокирует прошедшее время при дате "Сегодня"
3.23;Редактирование новостей. Валидация поля Время (Виджет);Выбор времени -3 часа при дате "Сегодня";Пользователь авторизован. В Панель управления есть сохранённая новость. Экран редактирования открыт через кнопку Update. Остальные поля предзаполнены валидными данными. Дата публикации = сегодня;1. Кликнуть на поле Время\n2. Выбрать время (текущее - 3 часа)\n3. Нажать OK;Прошедшее время должно быть заблокировано;Выбор доступен, изменения сохраняются с прошедшим временем;Failed;Medium;No;Отсутствует кросс-валидация: поле Время не блокирует прошедшее время при дате "Сегодня"
3.24;Редактирование новостей. Валидация поля Время (Виджет);Выбор времени +1 мин при дате "Сегодня";Пользователь авторизован. В Панель управления есть сохранённая новость. Экран редактирования открыт через кнопку Update. Остальные поля предзаполнены валидными данными. Дата публикации = сегодня;1. Кликнуть на поле Время\n2. Выбрать время (текущее + 1 мин)\n3. Нажать OK;Время подтверждается, изменения сохраняются;Время подтверждается, изменения сохраняются;Passed;Medium;No;Виджет выбора времени — системный элемент Android. Его сложно автоматизировать, так как на разных телефонах он работает по-разному. То же самое уже проверяется в тестах 3.26-3.30
3.25;Редактирование новостей. Валидация поля Время (Виджет);Выбор прошедшего времени при дате "Завтра";Пользователь авторизован. В Панель управления есть сохранённая новость. Экран редактирования открыт через кнопку Update. Остальные поля предзаполнены валидными данными. Дата публикации = завтра;1. Кликнуть на поле Время\n2. Выбрать прошедшее время\n3. Нажать OK;При будущей дате любое время разрешено, изменения сохраняются;Время подтверждается, изменения сохраняются;Passed;Medium;No;Виджет выбора времени — системный элемент Android. Его сложно автоматизировать, так как на разных телефонах он работает по-разному. То же самое уже проверяется в тестах 3.26-3.30
3.26;Редактирование новостей. Валидация поля Время (Ручной ввод);Ввод текущего времени при дате "Сегодня";Пользователь авторизован. В Панель управления есть сохранённая новость. Экран редактирования открыт через кнопку Update. Остальные поля предзаполнены валидными данными. Дата публикации = сегодня;1. Кликнуть на поле Время\n2. Кликнуть на иконку клавиатуры\n3. Ввести текущее время\n4. Нажать OK;Время подтверждается, изменения сохраняются;Время подтверждается, изменения сохраняются;Passed;Medium;Yes;
3.27;Редактирование новостей. Валидация поля Время (Ручной ввод);Ввод времени -1 мин при дате "Сегодня";Пользователь авторизован. В Панель управления есть сохранённая новость. Экран редактирования открыт через кнопку Update. Остальные поля предзаполнены валидными данными. Дата публикации = сегодня;1. Кликнуть на поле Время\n2. Кликнуть на иконку клавиатуры\n3. Ввести время (текущее - 1 мин)\n4. Нажать OK;Ввод должен быть заблокирован или очищен;Ввод принят, изменения сохраняются с прошедшим временем;Failed;Medium;No;Отсутствует кросс-валидация: ручной ввод прошедшего времени при дате "Сегодня" не фильтруется.;
3.28;Редактирование новостей. Валидация поля Время (Ручной ввод);Ввод времени -3 часа при дате "Сегодня";Пользователь авторизован. В Панель управления есть сохранённая новость. Экран редактирования открыт через кнопку Update. Остальные поля предзаполнены валидными данными. Дата публикации = сегодня;1. Кликнуть на поле Время\n2. Кликнуть на иконку клавиатуры\n3. Ввести время (текущее - 3 часа)\n4. Нажать OK;Ввод должен быть заблокирован;Ввод принят, изменения сохраняются с прошедшим временем;Failed;Medium;No;Отсутствует кросс-валидация: ручной ввод прошедшего времени при дате "Сегодня" не фильтруется.;
3.29;Редактирование новостей. Валидация поля Время (Ручной ввод);Ввод времени +1 мин при дате "Сегодня";Пользователь авторизован. В Панель управления есть сохранённая новость. Экран редактирования открыт через кнопку Update. Остальные поля предзаполнены валидными данными. Дата публикации = сегодня;1. Кликнуть на поле Время\n2. Кликнуть на иконку клавиатуры\n3. Ввести время (текущее + 1 мин)\n4. Нажать OK;Время подтверждается, изменения сохраняются;Время подтверждается, изменения сохраняются;Passed;Medium;Yes;
3.30;Редактирование новостей. Валидация поля Время (Ручной ввод);Ввод прошедшего времени при дате "Завтра";Пользователь авторизован. В Панель управления есть сохранённая новость. Экран редактирования открыт через кнопку Update. Остальные поля предзаполнены валидными данными. Дата публикации = завтра;1. Кликнуть на поле Время\n2. Кликнуть на иконку клавиатуры\n3. Ввести произвольное время\n4. Нажать OK;При будущей дате любой ввод разрешён, изменения сохраняются;Ввод принят, изменения сохраняются;Passed;Medium;Yes;
3.31;Редактирование новостей. Валидация поля Описание;Ввод текста на латинице;Пользователь авторизован. В Панель управления есть сохранённая новость. Экран редактирования открыт через кнопку Update. Поля Категория, Заголовок, Дата публикации, Время предзаполнены валидными данными;1. Очистить поле Описание\n2. Ввести текст на латинице\n3. Кликнуть на кнопку Сохранить;Изменения сохраняются. Новость обновляется в панели управления (Панель управления);Изменения сохраняются. Новость обновляется в панели управления (Панель управления);Passed;Medium;Yes;
3.32;Редактирование новостей. Валидация поля Описание;Ввод текста на кириллице;Пользователь авторизован. В Панель управления есть сохранённая новость. Экран редактирования открыт через кнопку Update. Поля Категория, Заголовок, Дата публикации, Время предзаполнены валидными данными;1. Очистить поле Описание\n2. Ввести текст на кириллице\n3. Кликнуть на кнопку Сохранить;Изменения сохраняются. Новость обновляется в панели управления (Панель управления);Изменения сохраняются. Новость обновляется в панели управления (Панель управления);Passed;Medium;Yes;
3.33;Редактирование новостей. Валидация поля Описание;Ввод цифр;Пользователь авторизован. В Панель управления есть сохранённая новость. Экран редактирования открыт через кнопку Update. Поля Категория, Заголовок, Дата публикации, Время предзаполнены валидными данными;1. Очистить поле Описание\n2. Ввести цифры\n3. Кликнуть на кнопку Сохранить;Изменения сохраняются. Новость обновляется в панели управления (Панель управления);Изменения сохраняются. Новость обновляется в панели управления (Панель управления);Passed;Medium;Yes;
3.34;Редактирование новостей. Валидация поля Описание;Ввод специальных символов;Пользователь авторизован. В Панель управления есть сохранённая новость. Экран редактирования открыт через кнопку Update. Поля Категория, Заголовок, Дата публикации, Время предзаполнены валидными данными;1. Очистить поле Описание\n2. Ввести специальные символы\n3. Кликнуть на кнопку Сохранить;Изменения сохраняются. Новость обновляется в панели управления (Панель управления);Изменения сохраняются. Новость обновляется в панели управления (Панель управления);Passed;Medium;Yes;
3.35;Редактирование новостей. Валидация поля Описание;Ввод пробелов;Пользователь авторизован. В Панель управления есть сохранённая новость. Экран редактирования открыт через кнопку Update. Поля Категория, Заголовок, Дата публикации, Время предзаполнены валидными данными;1. Очистить поле Описание\n2. Ввести пробелы\n3. Кликнуть на кнопку Сохранить;Изменения сохраняются. Новость обновляется в панели управления (Панель управления);Изменения сохраняются. Новость обновляется в панели управления (Панель управления);Passed;Medium;Yes;
3.36;Редактирование новостей. Валидация поля Описание;Очистка поля (пустое значение);Пользователь авторизован. В Панель управления есть сохранённая новость. Экран редактирования открыт через кнопку Update. Поля Категория, Заголовок, Дата публикации, Время предзаполнены валидными данными;1. Очистить поле Описание\n2. Кликнуть на кнопку Сохранить;Сохранение не происходит. Поле подсвечено красным. Появляется уведомление "Заполните пустые поля";Сохранение не происходит. Поле подсвечено красным. Появляется уведомление "Заполните пустые поля";Passed;High;Yes;
3.37;Редактирование новостей. Валидация поля Описание;Ввод одного символа;Пользователь авторизован. В Панель управления есть сохранённая новость. Экран редактирования открыт через кнопку Update. Поля Категория, Заголовок, Дата публикации, Время предзаполнены валидными данными;1. Очистить поле Описание\n2. Ввести один символ\n3. Кликнуть на кнопку Сохранить;Изменения сохраняются. Новость обновляется в панели управления (Панель управления);Изменения сохраняются. Новость обновляется в панели управления (Панель управления);Passed;Medium;Yes;
3.38;Редактирование новостей. Валидация поля Описание;Ввод 1000 символов (максимум);Пользователь авторизован. В Панель управления есть сохранённая новость. Экран редактирования открыт через кнопку Update. Поля Категория, Заголовок, Дата публикации, Время предзаполнены валидными данными;1. Очистить поле Описание\n2. Ввести текст из 1000 символов\n3. Кликнуть на кнопку Сохранить;Изменения сохраняются. Новость обновляется в панели управления (Панель управления);Изменения сохраняются. Новость обновляется в панели управления (Панель управления);Passed;Medium;Yes;
3.39;Редактирование новостей. Валидация поля Описание;Ввод 999 символов (макс - 1);Пользователь авторизован. В Панель управления есть сохранённая новость. Экран редактирования открыт через кнопку Update. Поля Категория, Заголовок, Дата публикации, Время предзаполнены валидными данными;1. Очистить поле Описание\n2. Ввести текст из 999 символов\n3. Кликнуть на кнопку Сохранить;Изменения сохраняются. Новость обновляется в панели управления (Панель управления);Изменения сохраняются. Новость обновляется в панели управления (Панель управления);Passed;Medium;Yes;
3.40;Редактирование новостей. Валидация поля Описание;Ввод 1001 символа (макс + 1);Пользователь авторизован. В Панель управления есть сохранённая новость. Экран редактирования открыт через кнопку Update. Поля Категория, Заголовок, Дата публикации, Время предзаполнены валидными данными;1. Очистить поле Описание\n2. Ввести текст из 1001 символа\n3. Кликнуть на кнопку Сохранить;Сохранение не происходит. Поле подсвечено красным. Появляется уведомление об ошибке валидации;Изменения сохраняются. Новость обновляется в панели управления (Панель управления);Failed;Medium;No;Лимит длины поля не валидируется (форма успешно отправляется). Требуется уточнение ТЗ или правка на стороне бэкенда.;
3.41;Редактирование новостей. Валидация поля Описание;Ввод 5000 символов (значительно превышает лимит);Пользователь авторизован. В Панель управления есть сохранённая новость. Экран редактирования открыт через кнопку Update. Поля Категория, Заголовок, Дата публикации, Время предзаполнены валидными данными;1. Очистить поле Описание\n2. Ввести текст из 5000 символов\n3. Кликнуть на кнопку Сохранить;Сохранение не происходит. Поле подсвечено красным. Появляется уведомление об ошибке валидации;Изменения сохраняются. Новость обновляется в панели управления (Панель управления);Failed;Low;No;Лимит длины поля не валидируется (форма успешно отправляется). Требуется уточнение ТЗ или правка на стороне бэкенда.;
3.42;Редактирование новостей. Переключатель статуса;Перевод новости в статус Активна;Пользователь авторизован. В Панель управления есть сохранённая новость (статус Не активна). Экран редактирования открыт через кнопку Update;1. Установить переключатель статуса в положение Активна\n2. Кликнуть на кнопку Сохранить;Изменения сохраняются. Статус новости обновляется на Активна в панели управления (Панель управления);Изменения сохраняются. Статус новости обновляется на Активна в панели управления (Панель управления);Passed;Medium;Yes;
3.43;Редактирование новостей. Переключатель статуса;Перевод новости в статус Не активна;Пользователь авторизован. В Панель управления есть сохранённая новость (статус Активна). Экран редактирования открыт через кнопку Update;1. Установить переключатель статуса в положение Не активна\n2. Кликнуть на кнопку Сохранить;Изменения сохраняются. Статус новости обновляется на Не активна в панели управления (Панель управления);Изменения сохраняются. Статус новости обновляется на Не активна в панели управления (Панель управления);Passed;Medium;Yes;
4.1;Удаление новостей. Кликнуть на кнопку удаления новости;Удаление одной новости через кнопку;Пользователь авторизован. В Панель управления есть как минимум одна сохранённая новость;1. Открыть Панель управления\n2. Найти новость в списке\n3. Кликнуть на кнопку удаления (иконка корзины/крестик)\n4. Подтвердить удаление в диалоговом окне;Новость удаляется из списка в Панель управления и исчезает из общего списка раздела Новости;Новость удаляется из списка в Панель управления, но проверить отображение в разделе Новости невозможно (список пустой из-за бага рендеринга);Blocked;High;No;Баг отображения: раздел Новости не отображает список новостей. Проверка полного цикла удаления (в общем списке) невозможна до фикса.;
4.2;Удаление новостей. Удалить все новости;Массовое удаление всех новостей;Пользователь авторизован. В Панель управления есть несколько сохранённых новостей;1. Открыть Панель управления\n2. Последовательно кликнуть на кнопку удаления для каждой новости\n3. Подтвердить каждое удаление;Все новости удаляются из списка в Панель управления и исчезают из общего списка раздела Новости;Все новости удаляются из списка в Панель управления, но проверить отображение в разделе Новости невозможно (список пустой из-за бага рендеринга);Blocked;Medium;No;Баг отображения: раздел Новости не отображает список новостей. Проверка полного цикла удаления (в общем списке) невозможна до фикса.;
5.1;Просмотр новостей. Главный экран;Отображение 3 последних активных новостей на стартовом экране;Пользователь авторизован;1. Запустить приложение (после авторизации на главном экране должны отображаться новости);Отображаются заголовок "Новости", кнопка "All Новости" и список из 3 последних активных новостей;Отображаются заголовок "Новости" и кнопка "All Новости", но список новостей отсутствует;Blocked;High;No;Баг UI: компонент списка новостей не рендерит данные на главном экране. Проверка отображения контента невозможна до фикса.
5.2;Просмотр новостей. Раздел Новости;Отображение полного списка всех активных новостей;Пользователь авторизован. Приложение запущено;1. Кликнуть на кнопку выбора меню в верхнем левом углу\n2. Выбрать раздел Новости;Открывается раздел Новости, отображается полный список всех активных новостей;Раздел открывается, но отображается пустой экран (список новостей не загружается);Blocked;High;No;Баг UI: компонент списка новостей не рендерит данные в разделе Новости. Проверка отображения контента невозможна до фикса.
6.1;Фильтрация (Панель управления). По категории;Выбор категории, которая назначена хотя бы одной новости;Пользователь авторизован. В Панель управления есть новости разных категорий;1. Кликнуть на кнопку меню\n2. Выбрать раздел Новости\n3. Кликнуть на кнопку редактирования (переход в Панель управления)\n4. Открыть фильтр категорий\n5. Выбрать категорию, которая назначена хотя бы одной новости\n6. Нажать кнопку Фильтровать;В списке остаются только новости выбранной категории;В списке остаются только новости выбранной категории;Passed;Medium;Yes;
6.2;Фильтрация (Панель управления). По категории;Без выбора категории;Пользователь авторизован. В Панель управления есть новости;1. Кликнуть на кнопку меню\n2. Выбрать раздел Новости\n3. Кликнуть на кнопку редактирования (переход в Панель управления)\n4. Открыть фильтр категорий\n5. Не выбирать категорию\n6. Нажать кнопку Фильтровать;В списке остаются все новости;В списке остаются все новости;Passed;Medium;Yes;
6.3;Фильтрация (Панель управления). По категории;Выбор категории, не назначенной ни одной новости;Пользователь авторизован. В Панель управления есть новости;1. Кликнуть на кнопку меню\n2. Выбрать раздел Новости\n3. Кликнуть на кнопку редактирования (переход в Панель управления)\n4. Открыть фильтр категорий\n5. Выбрать категорию, не назначенную ни одной новости\n6. Нажать кнопку Фильтровать;Окно пустое, отображается надпись "Здесь пока ничего нет...";Окно пустое, отображается надпись "Здесь пока ничего нет...";Passed;Medium;Yes;
6.4;Фильтрация (Панель управления). По дате;Обе даты корректны;Пользователь авторизован. В Панель управления есть новости;1. Кликнуть на кнопку меню\n2. Выбрать раздел Новости\n3. Кликнуть на кнопку редактирования (переход в Панель управления)\n4. Открыть фильтр по дате\n5. Выбрать корректные Start и End даты\n6. Нажать кнопку Фильтровать;Отображаются новости, попадающие в выбранный период;Отображаются новости, попадающие в выбранный период;Passed;Medium;Yes;
6.5;Фильтрация (Панель управления). По дате;Заполнена только начальная дата;Пользователь авторизован. В Панель управления есть новости;1. Кликнуть на кнопку меню\n2. Выбрать раздел Новости\n3. Кликнуть на кнопку редактирования (переход в Панель управления)\n4. Открыть фильтр по дате\n5. Заполнить только Start Date\n6. Нажать кнопку Фильтровать;Появляется сообщение "Неверно указан период";Появляется сообщение "Неверно указан период";Passed;Medium;Yes;
6.6;Фильтрация (Панель управления). По дате;Заполнена только конечная дата;Пользователь авторизован. В Панель управления есть новости;1. Кликнуть на кнопку меню\n2. Выбрать раздел Новости\n3. Кликнуть на кнопку редактирования (переход в Панель управления)\n4. Открыть фильтр по дате\n5. Заполнить только End Date\n6. Нажать кнопку Фильтровать;Появляется сообщение "Неверно указан период";Появляется сообщение "Неверно указан период";Passed;Medium;Yes;
6.7;Фильтрация (Панель управления). По дате;Конечная дата раньше начальной;Пользователь авторизован. В Панель управления есть новости;1. Кликнуть на кнопку меню\n2. Выбрать раздел Новости\n3. Кликнуть на кнопку редактирования (переход в Панель управления)\n4. Открыть фильтр по дате\n5. Выбрать период, где End Date < Start Date\n6. Нажать кнопку Фильтровать;Окно пустое, отображается надпись "Здесь пока ничего нет...";Окно пустое, отображается надпись "Здесь пока ничего нет...";Passed;Medium;Yes;
6.8;Фильтрация (Панель управления). По дате;Выбор периода без новостей;Пользователь авторизован. В Панель управления есть новости;1. Кликнуть на кнопку меню\n2. Выбрать раздел Новости\n3. Кликнуть на кнопку редактирования (переход в Панель управления)\n4. Открыть фильтр по дате\n5. Выбрать период, в котором нет ни одной новости\n6. Нажать кнопку Фильтровать;Окно пустое, отображается надпись "Здесь пока ничего нет...";Окно пустое, отображается надпись "Здесь пока ничего нет...";Passed;Medium;Yes;
6.9;Фильтрация (Панель управления). По статусу;Выбор статуса Активна;Пользователь авторизован. В Панель управления есть активные и неактивные новости;1. Кликнуть на кнопку меню\n2. Выбрать раздел Новости\n3. Кликнуть на кнопку редактирования (переход в Панель управления)\n4. Открыть фильтр статусов\n5. Выбрать только Активна\n6. Нажать кнопку Фильтровать;Отображаются только новости со статусом Активна;Отображаются только новости со статусом Активна;Passed;Medium;Yes;
6.10;Фильтрация (Панель управления). По статусу;Выбор статуса Не активна;Пользователь авторизован. В Панель управления есть активные и неактивные новости;1. Кликнуть на кнопку меню\n2. Выбрать раздел Новости\n3. Кликнуть на кнопку редактирования (переход в Панель управления)\n4. Открыть фильтр статусов\n5. Выбрать только Не активна\n6. Нажать кнопку Фильтровать;Отображаются только новости со статусом Не активна;Отображаются только новости со статусом Не активна;Passed;Medium;Yes;
6.11;Фильтрация (Панель управления). По статусу;Выбор обоих статусов;Пользователь авторизован. В Панель управления есть новости;1. Кликнуть на кнопку меню\n2. Выбрать раздел Новости\n3. Кликнуть на кнопку редактирования (переход в Панель управления)\n4. Открыть фильтр статусов\n5. Выбрать Активна и Не активна\n6. Нажать кнопку Фильтровать;Отображаются все новости;Отображаются все новости;Passed;Medium;Yes;
6.12;Фильтрация (Панель управления). По статусу;Не выбран ни один статус;Пользователь авторизован. В Панель управления есть новости;1. Кликнуть на кнопку меню\n2. Выбрать раздел Новости\n3. Кликнуть на кнопку редактирования (переход в Панель управления)\n4. Открыть фильтр статусов\n5. Снять все галочки\n6. Нажать кнопку Фильтровать;Список новостей пуст (фильтр без значений не должен возвращать данные);Отображаются все новости;Failed;Medium;No;Логика фильтра нарушена: при отсутствии выбранных статусов приложение показывает все новости вместо пустого списка или валидации.
6.13;Фильтрация (Раздел Новости). По категории;Выбор категории, которая назначена хотя бы одной новости;Пользователь авторизован. В приложении есть новости разных категорий;1. Кликнуть на кнопку меню\n2. Выбрать раздел Новости\n3. Открыть фильтр категорий\n4. Выбрать категорию, которая назначена хотя бы одной новости\n5. Нажать кнопку Фильтровать;В списке остаются только новости выбранной категории;Окно пустое, отображается надпись "Здесь пока ничего нет...";Blocked;Medium;No;Баг UI: список новостей не рендерит данные. Проверка работы фильтра невозможна до фикса.
6.14;Фильтрация (Раздел Новости). По категории;Без выбора категории;Пользователь авторизован. В приложении есть новости;1. Кликнуть на кнопку меню\n2. Выбрать раздел Новости\n3. Открыть фильтр категорий\n4. Не выбирать категорию\n5. Нажать кнопку Фильтровать;В списке остаются все новости;Окно пустое, отображается надпись "Здесь пока ничего нет...";Blocked;Medium;No;Баг UI: список новостей не рендерит данные. Проверка работы фильтра невозможна.
6.15;Фильтрация (Раздел Новости). По категории;Выбор категории, не назначенной ни одной новости;Пользователь авторизован. В приложении есть новости;1. Кликнуть на кнопку меню\n2. Выбрать раздел Новости\n3. Открыть фильтр категорий\n4. Выбрать категорию, не назначенную ни одной новости\n5. Нажать кнопку Фильтровать;Окно пустое, отображается надпись "Здесь пока ничего нет...";Окно пустое, отображается надпись "Здесь пока ничего нет...";Blocked;Medium;No;Баг UI: список новостей не рендерит данные. Невозможно отличить пустой результат фильтра от бага отображения.
6.16;Фильтрация (Раздел Новости). По дате;Обе даты корректны;Пользователь авторизован. В приложении есть новости;1. Кликнуть на кнопку меню\n2. Выбрать раздел Новости\n3. Открыть фильтр по дате\n4. Выбрать корректные Start и End даты\n5. Нажать кнопку Фильтровать;Отображаются новости, попадающие в выбранный период;Окно пустое, отображается надпись "Здесь пока ничего нет...";Blocked;Medium;No;Баг UI: список новостей не рендерит данные. Проверка работы фильтра невозможна до фикса.
6.17;Фильтрация (Раздел Новости). По дате;Заполнена только начальная дата;Пользователь авторизован. В приложении есть новости;1. Кликнуть на кнопку меню\n2. Выбрать раздел Новости\n3. Открыть фильтр по дате\n4. Заполнить только Start Date\n5. Нажать кнопку Фильтровать;Появляется сообщение "Неверно указан период";Окно пустое, отображается надпись "Здесь пока ничего нет...";Blocked;Medium;No;Баг UI: список новостей не рендерит данные. Проверка валидации невозможна.
6.18;Фильтрация (Раздел Новости). По дате;Заполнена только конечная дата;Пользователь авторизован. В приложении есть новости;1. Кликнуть на кнопку меню\n2. Выбрать раздел Новости\n3. Открыть фильтр по дате\n4. Заполнить только End Date\n5. Нажать кнопку Фильтровать;Появляется сообщение "Неверно указан период";Окно пустое, отображается надпись "Здесь пока ничего нет...";Blocked;Medium;No;Баг UI: список новостей не рендерит данные. Проверка валидации невозможна.
6.19;Фильтрация (Раздел Новости). По дате;Конечная дата раньше начальной;Пользователь авторизован. В приложении есть новости;1. Кликнуть на кнопку меню\n2. Выбрать раздел Новости\n3. Открыть фильтр по дате\n4. Выбрать период, где End Date < Start Date\n5. Нажать кнопку Фильтровать;Окно пустое, отображается надпись "Здесь пока ничего нет...";Окно пустое, отображается надпись "Здесь пока ничего нет...";Blocked;Medium;No;Баг UI: список новостей не рендерит данные. Проверка работы фильтра невозможна.
6.20;Фильтрация (Раздел Новости). По дате;Выбор периода без новостей;Пользователь авторизован. В приложении есть новости;1. Кликнуть на кнопку меню\n2. Выбрать раздел Новости\n3. Открыть фильтр по дате\n4. Выбрать период, в котором нет ни одной новости\n5. Нажать кнопку Фильтровать;Окно пустое, отображается надпись "Здесь пока ничего нет...";Окно пустое, отображается надпись "Здесь пока ничего нет...";Blocked;Medium;No;Баг UI: список новостей не рендерит данные. Невозможно отличить пустой результат фильтра от бага отображения.
7.1;Сортировка (Раздел Новости);Клик по кнопке сортировки - сортировка по дате (ASC);Пользователь авторизован. Приложение запущено;1. Кликнуть на кнопку меню\n2. Выбрать раздел Новости\n3. Кликнуть по кнопке сортировки;Список новостей отсортирован по дате (от старых к новым);Окно пустое, отображается надпись "Здесь пока ничего нет...";Blocked;Medium;No;Баг UI: список новостей не рендерит данные. Проверка сортировки невозможна до фикса.
7.2;Сортировка (Раздел Новости);Повторный клик по кнопке сортировки - сортировка по дате в обратном порядке (DESC);Пользователь авторизован. Приложение запущено;1. Кликнуть на кнопку меню\n2. Выбрать раздел Новости\n3. Кликнуть по кнопке сортировки дважды;Список новостей отсортирован по дате в обратном порядке (от новых к старым);Окно пустое, отображается надпись "Здесь пока ничего нет...";Blocked;Medium;No;Баг UI: список новостей не рендерит данные. Проверка сортировки невозможна.
7.3;Сортировка (Панель управления);Клик по кнопке сортировки - сортировка по дате (ASC);Пользователь авторизован. В Панель управления есть список новостей;1. Кликнуть на кнопку меню\n2. Выбрать раздел Новости\n3. Кликнуть на кнопку редактирования (переход в Панель управления)\n4. Кликнуть по кнопке сортировки;Список в Панель управления отсортирован по дате (от старых к новым);Список в Панель управления отсортирован по дате (от старых к новым);Passed;Medium;Yes;
7.4;Сортировка (Панель управления);Повторный клик по кнопке сортировки - сортировка по дате в обратном порядке (DESC);Пользователь авторизован. В Панель управления есть список новостей;1. Кликнуть на кнопку меню\n2. Выбрать раздел Новости\n3. Кликнуть на кнопку редактирования (переход в Панель управления)\n4. Кликнуть по кнопке сортировки дважды;Список в Панель управления отсортирован по дате в обратном порядке (от новых к старым);Список в Панель управления отсортирован по дате в обратном порядке (от новых к старым);Passed;Medium;Yes;
8.1;Автозаполнение пустого списка (Панель управления). Кнопка Обновить;Автозаполнение пустого списка в Панель управления;Пользователь авторизован. Открыт Панель управления. Список новостей пуст;1. Убедиться, что список пуст\n2. Кликнуть на кнопку Обновить\n3. Дождаться завершения загрузки;В списке автоматически появляются несколько тестовых новостей;В списке автоматически появляются несколько тестовых новостей;Passed;High;Yes;
8.2;Автозаполнение пустого списка (Новости). Кнопка Обновить;Автозаполнение пустого списка в разделе Новости;Пользователь авторизован. Открыт раздел Новости. Список новостей пуст;1. Убедиться, что список пуст\n2. Кликнуть на кнопку Обновить\n3. Дождаться завершения загрузки;Ожидается аналогичное поведение: в списке автоматически появляются несколько тестовых новостей;Кнопка доступна, но новости не появляются (список остаётся пустым из-за бага рендеринга);Blocked;High;No;Баг UI: список новостей не рендерит данные. Невозможно проверить автозаполнение в общем списке до фикса.
